iter	RMSE
0	0.258004301
1	0.2558429525
2	0.2538703477
3	0.2519768492
4	0.2501704783
5	0.2484363907
6	0.2468677659
7	0.2453850553
8	0.2439407937
9	0.2426329765
10	0.2413671616
11	0.2401599629
12	0.2390219582
13	0.2379977814
14	0.2370593397
15	0.2361138234
16	0.2352517717
17	0.2344327614
18	0.2336758579
19	0.2329703353
20	0.2323373061
21	0.231688947
22	0.2311250319
23	0.2305625193
24	0.2300253942
25	0.2295260401
26	0.2290511958
27	0.2286237624
28	0.2282056986
29	0.2277978257
30	0.2274233585
31	0.2271094191
32	0.2267672134
33	0.2264556436
34	0.2261561698
35	0.2259016755
36	0.2256346048
37	0.2254008965
38	0.2251632317
39	0.2249405789
40	0.2247172758
41	0.2244992538
42	0.2242713205
43	0.2240676471
44	0.2238832949
45	0.2237450811
46	0.2235949023
47	0.2234410767
48	0.2233137586
49	0.2231832925
50	0.2230647577
51	0.2229556135
52	0.2228474191
53	0.2227375875
54	0.2225960148
55	0.2224939705
56	0.2224144015
57	0.2223137385
58	0.2221998838
59	0.2220774858
60	0.2219876764
61	0.2218959049
62	0.2218312332
63	0.2217564244
64	0.2216649157
65	0.2215588054
66	0.2214730106
67	0.221382125
68	0.2213050366
69	0.2212618574
70	0.2212233436
71	0.2211581672
72	0.2210668656
73	0.2209854921
74	0.2209367474
75	0.2208748669
76	0.2208426209
77	0.2207940226
78	0.2207455872
79	0.2207012579
80	0.2206546842
81	0.2206197661
82	0.2205795009
83	0.2205409832
84	0.2204927908
85	0.2204573819
86	0.2203931098
87	0.2203511704
88	0.2203314333
89	0.2202829392
90	0.2202288225
91	0.220178582
92	0.2200934976
93	0.2200503519
94	0.2200008915
95	0.2199844324
96	0.2199395631
97	0.2199166026
98	0.2198808105
99	0.219869777
100	0.2198674195
101	0.2197888829
102	0.2197383048
103	0.2196877211
104	0.219655323
105	0.2196184497
106	0.2195847535
107	0.219567395
108	0.2195160637
109	0.2195082161
110	0.219452489
111	0.2193945616
112	0.2193458579
113	0.2193117306
114	0.2192759042
115	0.2192053676
116	0.2191751425
117	0.2191468753
118	0.2191073921
119	0.2190550973
120	0.2190145861
121	0.2189915785
122	0.2189390831
123	0.2189100819
124	0.2188730984
125	0.2188532112
126	0.2188318468
127	0.2188005174
128	0.2187528744
129	0.2187256867
130	0.2187084895
131	0.218672048
132	0.2186424757
133	0.2186089469
134	0.2185787459
135	0.218555106
136	0.218536847
137	0.2185068439
138	0.2184728582
139	0.2184561702
140	0.2184244755
141	0.2184066351
142	0.2183924776
143	0.2183553578
144	0.2183513433
145	0.2183223115
146	0.2182847329
147	0.2182643734
148	0.2182125162
149	0.2181958472
150	0.2181823644
151	0.2181278285
152	0.2181026869
153	0.2180799865
154	0.2180352774
155	0.2180083793
156	0.2179650276
157	0.2179479963
158	0.2179273313
159	0.2179106387
160	0.2178660442
161	0.2178405977
162	0.2177982265
163	0.2177736743
164	0.2177636747
165	0.2177179835
166	0.2176958714
167	0.2176839724
168	0.2176671128
169	0.2176352294
170	0.2176010511
171	0.2175816218
172	0.2175514495
173	0.2174861056
174	0.2174815417
175	0.217430966
176	0.2174178169
177	0.2173830465
178	0.2173655525
179	0.2173269431
180	0.2173125617
181	0.2172935443
182	0.2172765254
183	0.2172507191
184	0.2172073701
185	0.2171856483
186	0.2171508221
187	0.2170648122
188	0.2170266229
189	0.2170140625
190	0.2169869693
191	0.2169707599
192	0.2169224252
193	0.2168401068
194	0.2168060645
195	0.2167366309
196	0.2167066165
197	0.2166544906
198	0.2166246382
199	0.2166035054
200	0.2165676504
201	0.2165554082
202	0.216548562
203	0.2165097806
204	0.2164824008
205	0.216451914
206	0.2164246718
207	0.2164049479
208	0.2163669264
209	0.2163187186
210	0.2163010761
211	0.2162734555
212	0.2162121174
213	0.216178551
214	0.2161333658
215	0.2160835909
216	0.2160279897
217	0.2160023454
218	0.2159857613
219	0.21596121
220	0.2159203655
221	0.2158748067
222	0.2158444413
223	0.2158130259
224	0.2157910951
225	0.2157828191
226	0.2157544516
227	0.2157291556
228	0.2156914789
229	0.215623858
230	0.2155365471
231	0.2154994809
232	0.2154394269
233	0.2153986304
234	0.2153413017
235	0.2153292627
236	0.2153184664
237	0.2152881937
238	0.2152696743
239	0.215235555
240	0.2151960374
241	0.2151735919
242	0.2151023949
243	0.2150648992
244	0.2150574754
245	0.2150340607
246	0.2149894041
247	0.2149820437
248	0.2149521552
249	0.2149021452
250	0.2148614596
251	0.214809928
252	0.2147837465
253	0.2147399151
254	0.2147029713
255	0.2146772935
256	0.2146624256
257	0.2146240719
258	0.2145765504
259	0.2145604781
260	0.2145076109
261	0.2144665318
262	0.2144413799
263	0.2144285645
264	0.2144120354
265	0.2143657266
266	0.2143432173
267	0.2143012774
268	0.2142658208
269	0.214231771
270	0.2141419478
271	0.2141269553
272	0.2140975107
273	0.2140527732
274	0.2139938786
275	0.2139398985
276	0.2139166908
277	0.2138805682
278	0.2138367761
279	0.2138104667
280	0.2137911721
281	0.2137586428
282	0.2137385416
283	0.213693305
284	0.2136723452
285	0.2136412111
286	0.2135939218
287	0.2135669972
288	0.213497363
289	0.2134789622
290	0.2134300131
291	0.2133983174
292	0.2133714944
293	0.2133574462
294	0.2133358696
295	0.213296813
296	0.2132374707
297	0.2132130334
298	0.2131726363
299	0.2131164715
300	0.2130794007
301	0.2130469493
302	0.2130276509
303	0.212987617
304	0.2129237599
305	0.2128906096
306	0.212869758
307	0.2128184168
308	0.2127855032
309	0.2127707157
310	0.2126966835
311	0.2126443251
312	0.2125753597
313	0.2125452563
314	0.212524655
315	0.2124900472
316	0.212449949
317	0.2123888767
318	0.2123281703
319	0.2123155115
320	0.212299155
321	0.2122574834
322	0.2122481066
323	0.2122283602
324	0.2122167268
325	0.2121974713
326	0.2121279136
327	0.2120984516
328	0.2120682715
329	0.2120538777
330	0.2120107723
331	0.2119878389
332	0.2119413464
333	0.211884516
334	0.2118532665
335	0.211835126
336	0.2117879386
337	0.2117691588
338	0.2117580819
339	0.2117343103
340	0.2116867045
341	0.2116497606
342	0.2116257458
343	0.2115691418
344	0.2115149849
345	0.2114476366
346	0.2113904323
347	0.2113705821
348	0.2113452331
349	0.2112967711
350	0.2112523044
351	0.2112099438
352	0.2111641959
353	0.211124875
354	0.2111006362
355	0.2110624065
356	0.2110042335
357	0.2109816766
358	0.210932385
359	0.2108885344
360	0.2108659866
361	0.2108482854
362	0.2108069261
363	0.2107455251
364	0.2106876168
365	0.2106664084
366	0.2106300183
367	0.2106158705
368	0.210572866
369	0.2105384373
370	0.2105164047
371	0.2104997126
372	0.2104684703
373	0.2104310463
374	0.2104189356
375	0.2103767025
376	0.2103587629
377	0.2103234267
378	0.2103039111
379	0.2102905216
380	0.210270176
381	0.2102487668
382	0.2102142454
383	0.2101688683
384	0.2101336327
385	0.2101015254
386	0.21003112
387	0.2100180302
388	0.2099965051
389	0.2099583107
390	0.2099347811
391	0.2099212738
392	0.2098855296
393	0.209825741
394	0.2098095118
395	0.2097969617
396	0.2097737895
397	0.2097177772
398	0.209646844
399	0.2096155041
400	0.2095776593
401	0.2095368484
402	0.2095161915
403	0.2094735899
404	0.209460759
405	0.2094150243
406	0.2094002217
407	0.2093710123
408	0.209321895
409	0.2092860012
410	0.2092502818
411	0.2091875625
412	0.2091582921
413	0.2090963253
414	0.2090730445
415	0.2090115665
416	0.2089816824
417	0.2089435927
418	0.2088850095
419	0.2088289917
420	0.2087872399
421	0.2087658774
422	0.2087311974
423	0.2087108603
424	0.2086990602
425	0.2086864425
426	0.2086535995
427	0.2086258918
428	0.2086032528
429	0.2085911751
430	0.2085352309
431	0.2085093232
432	0.2084704253
433	0.208428492
434	0.2083751382
435	0.2083434066
436	0.2083169801
437	0.208299008
438	0.2082339677
