iter	Passed	Remaining
0	3	6557
1	5	5291
2	7	4833
3	9	4581
4	11	4421
5	13	4331
6	15	4297
7	17	4235
8	18	4185
9	20	4156
10	22	4138
11	25	4161
12	27	4134
13	29	4118
14	30	4084
15	32	4070
16	34	4051
17	36	4035
18	38	4029
19	40	4016
20	42	4008
21	44	4001
22	46	3991
23	48	3990
24	50	3983
25	52	3976
26	54	3971
27	56	3964
28	58	3955
29	60	3957
30	62	3963
31	64	3961
32	66	3955
33	68	3950
34	70	3947
35	72	3943
36	74	3940
37	76	3935
38	78	3933
39	80	3928
40	82	3922
41	84	3919
42	86	3919
43	88	3914
44	90	3912
45	92	3910
46	94	3908
47	95	3903
48	98	3904
49	100	3901
50	102	3901
51	104	3899
52	106	3896
53	108	3893
54	110	3890
55	111	3884
56	113	3881
57	115	3878
58	117	3876
59	119	3873
60	121	3870
61	123	3868
62	125	3866
63	127	3863
64	129	3859
65	131	3856
66	133	3853
67	135	3851
68	137	3850
69	139	3850
70	141	3848
71	143	3844
72	145	3839
73	147	3835
74	149	3834
75	151	3831
76	153	3829
77	155	3828
78	157	3825
79	159	3823
80	161	3819
81	163	3815
82	165	3815
83	167	3813
84	169	3817
85	171	3816
86	173	3818
87	175	3819
88	178	3822
89	180	3820
90	182	3819
91	183	3815
92	185	3811
93	187	3808
94	189	3807
95	191	3804
96	193	3802
97	195	3801
98	197	3800
99	199	3797
100	200	3778
101	202	3776
102	204	3774
103	206	3770
104	208	3767
105	210	3765
106	212	3763
107	214	3762
108	216	3760
109	217	3745
110	219	3743
111	221	3741
112	223	3737
113	225	3736
114	227	3732
115	229	3730
116	231	3727
117	233	3725
118	235	3722
119	237	3719
120	239	3716
121	241	3715
122	243	3712
123	245	3711
124	247	3708
125	249	3705
126	251	3704
127	253	3700
128	255	3699
129	256	3696
130	258	3693
131	260	3690
132	262	3689
133	264	3686
134	266	3685
135	268	3682
136	270	3680
137	272	3678
138	274	3675
139	276	3671
140	278	3670
141	280	3667
142	282	3664
